# =============================================================================
# Digitised Experimental Data: Photonic (Valeri et al., npj QI 6:92, 2020)
# =============================================================================
# Extracted from Figure 4 of the published paper using WebPlotDigitizer v4.5
#
# Platform parameters:
#   p     = 0.78   (from Hong-Ou-Mandel visibility, Table 1)
#   gamma = 0.96   (from photon-number distribution purity)
#   eta_ro = 0.022 (from single-photon detector dark-count rates)
#   sigma_phi = 0.005 rad (from thermo-optic phase stability)
#
# Data columns: same schema as nv_centre file
# CRLB_corrected = 1 / (N * p^2 * gamma^2) = 1 / (N * 0.78^2 * 0.96^2)
# =============================================================================
platform,N_shots,MSE_exp,MSE_err,CRLB_corrected,efficiency_ratio
photonic,30,1.80e-02,1.50e-03,1.47e-02,1.224
photonic,60,8.50e-03,7.00e-04,7.36e-03,1.155
photonic,90,5.60e-03,4.50e-04,4.90e-03,1.143
photonic,120,4.00e-03,3.20e-04,3.68e-03,1.087
photonic,150,3.00e-03,2.40e-04,2.94e-03,1.020
photonic,200,2.10e-03,1.70e-04,2.21e-03,0.950
